ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2022-04-15T22:54:00.000,2.25,338.03,2.08,-0.84
2022-04-15T22:56:00.000,1.33,306.48,0.79,-1.07
2022-04-15T22:58:00.000,2.64,7.03,2.62,0.32
2022-04-15T23:00:00.000,2.33,270.25,0.01,-2.33
2022-04-15T23:02:00.000,3.05,359.65,3.05,-0.02
2022-04-15T23:04:00.000,1.13,43.19,0.82,0.77
2022-04-15T23:06:00.000,1.73,356.05,1.73,-0.12
2022-04-15T23:08:00.000,1.48,149.07,-1.27,0.76
2022-04-15T23:10:00.000,2.29,218.80,-1.78,-1.43
2022-04-15T23:12:00.000,2.85,22.81,2.63,1.10
2022-04-15T23:14:00.000,0.94,146.81,-0.78,0.51
2022-04-15T23:16:00.000,2.25,154.79,-2.04,0.96
2022-04-15T23:18:00.000,0.58,293.42,0.23,-0.53
2022-04-15T23:20:00.000,2.78,177.06,-2.78,0.14
2022-04-15T23:22:00.000,0.87,278.89,0.13,-0.86
2022-04-15T23:24:00.000,0.90,59.21,0.46,0.77
2022-04-15T23:26:00.000,2.75,151.39,-2.41,1.32
2022-04-15T23:28:00.000,0.79,68.35,0.29,0.73
2022-04-15T23:30:00.000,0.36,78.51,0.07,0.35
2022-04-15T23:32:00.000,0.66,105.03,-0.17,0.64
2022-04-15T23:34:00.000,2.45,131.32,-1.62,1.84
2022-04-15T23:36:00.000,0.76,191.43,-0.75,-0.15
2022-04-15T23:38:00.000,1.75,209.68,-1.52,-0.87
2022-04-15T23:40:00.000,3.90,126.38,-2.31,3.14
2022-04-15T23:42:00.000,1.78,49.31,1.16,1.35
2022-04-15T23:44:00.000,2.15,137.80,-1.59,1.44
2022-04-15T23:46:00.000,2.86,107.54,-0.86,2.73
2022-04-15T23:48:00.000,4.29,87.65,0.18,4.29
2022-04-15T23:50:00.000,2.32,181.69,-2.32,-0.07
2022-04-15T23:52:00.000,2.66,137.74,-1.97,1.79
2022-04-15T23:54:00.000,1.17,150.88,-1.03,0.57
2022-04-15T23:56:00.000,2.92,177.48,-2.92,0.13
2022-04-15T23:58:00.000,3.58,194.04,-3.47,-0.87
2022-04-16T00:00:00.000,5.94,157.81,-5.50,2.24
2022-04-16T00:02:00.000,1.57,155.34,-1.43,0.66
2022-04-16T00:04:00.000,3.12,182.09,-3.12,-0.11
2022-04-16T00:06:00.000,2.63,180.22,-2.63,-0.01
2022-04-16T00:08:00.000,1.37,301.70,0.72,-1.17
2022-04-16T00:10:00.000,1.61,233.31,-0.96,-1.29
2022-04-16T00:12:00.000,0.22,201.19,-0.21,-0.08
2022-04-16T00:14:00.000,1.50,298.12,0.71,-1.32
2022-04-16T00:16:00.000,5.54,146.23,-4.61,3.08
2022-04-16T00:18:00.000,1.99,272.64,0.09,-1.99
2022-04-16T00:20:00.000,1.85,135.92,-1.33,1.29
2022-04-16T00:22:00.000,1.21,338.54,1.13,-0.44
2022-04-16T00:24:00.000,2.62,276.78,0.31,-2.60
2022-04-16T00:26:00.000,3.30,157.69,-3.06,1.25
2022-04-16T00:28:00.000,1.15,333.00,1.03,-0.52
2022-04-16T00:30:00.000,3.38,339.17,3.16,-1.20
2022-04-16T00:32:00.000,2.43,54.94,1.40,1.99
2022-04-16T00:34:00.000,5.34,11.85,5.23,1.10
2022-04-16T00:36:00.000,2.01,58.69,1.04,1.72
2022-04-16T00:38:00.000,2.34,206.89,-2.08,-1.06
2022-04-16T00:40:00.000,2.81,259.69,-0.50,-2.77
2022-04-16T00:42:00.000,2.42,296.85,1.09,-2.15
2022-04-16T00:44:00.000,2.74,34.18,2.27,1.54
2022-04-16T00:46:00.000,1.33,241.79,-0.63,-1.18
2022-04-16T00:48:00.000,1.12,206.18,-1.01,-0.49
2022-04-16T00:50:00.000,1.22,64.09,0.53,1.10
2022-04-16T00:52:00.000,3.07,348.49,3.01,-0.61
2022-04-16T00:54:00.000,3.41,42.95,2.50,2.32
2022-04-16T00:56:00.000,5.62,72.13,1.73,5.35
2022-04-16T00:58:00.000,1.55,77.94,0.32,1.52
2022-04-16T01:00:00.000,3.31,103.55,-0.78,3.22
2022-04-16T01:02:00.000,2.93,344.06,2.82,-0.81
2022-04-16T01:04:00.000,4.04,132.58,-2.73,2.98
2022-04-16T01:06:00.000,1.05,28.00,0.93,0.49
2022-04-16T01:08:00.000,1.71,4.96,1.70,0.15
2022-04-16T01:10:00.000,1.79,154.59,-1.61,0.77
2022-04-16T01:12:00.000,2.74,15.36,2.64,0.73
2022-04-16T01:14:00.000,3.66,31.16,3.13,1.89
2022-04-16T01:16:00.000,1.16,88.42,0.03,1.16
2022-04-16T01:18:00.000,2.02,122.13,-1.08,1.71
2022-04-16T01:20:00.000,4.19,21.51,3.90,1.54
2022-04-16T01:22:00.000,1.32,5.62,1.31,0.13
2022-04-16T01:24:00.000,2.81,42.40,2.08,1.90
2022-04-16T01:26:00.000,1.33,349.33,1.30,-0.25
2022-04-16T01:28:00.000,1.81,22.80,1.67,0.70
2022-04-16T01:30:00.000,3.05,84.62,0.29,3.03
2022-04-16T01:32:00.000,7.04,24.04,6.43,2.87
2022-04-16T01:34:00.000,3.36,62.28,1.56,2.97
2022-04-16T01:36:00.000,5.21,49.47,3.39,3.96
2022-04-16T01:38:00.000,6.61,50.52,4.20,5.10
2022-04-16T01:40:00.000,9.56,54.33,5.57,7.76
2022-04-16T01:42:00.000,4.88,53.92,2.88,3.95
2022-04-16T01:44:00.000,3.12,31.59,2.66,1.63
2022-04-16T01:46:00.000,7.38,55.75,4.15,6.10
2022-04-16T01:48:00.000,9.69,61.74,4.59,8.54
2022-04-16T01:50:00.000,6.36,98.15,-0.90,6.29
2022-04-16T01:52:00.000,6.99,61.09,3.38,6.12
2022-04-16T01:54:00.000,5.78,66.06,2.35,5.28
2022-04-16T01:56:00.000,6.62,85.75,0.49,6.60
2022-04-16T01:58:00.000,3.60,67.00,1.41,3.31
2022-04-16T02:00:00.000,9.60,62.37,4.45,8.50
2022-04-16T02:02:00.000,10.26,54.97,5.89,8.40
2022-04-16T02:04:00.000,3.45,83.21,0.41,3.42
2022-04-16T02:06:00.000,4.64,56.02,2.59,3.84
2022-04-16T02:08:00.000,3.94,65.67,1.62,3.59
2022-04-16T02:10:00.000,3.08,54.92,1.77,2.52
2022-04-16T02:12:00.000,6.74,155.01,-6.11,2.85
2022-04-16T02:14:00.000,3.81,73.20,1.10,3.65
2022-04-16T02:16:00.000,2.27,74.17,0.62,2.18
2022-04-16T02:18:00.000,2.53,88.30,0.08,2.53
2022-04-16T02:20:00.000,5.01,112.95,-1.95,4.61
2022-04-16T02:22:00.000,5.59,110.18,-1.93,5.24
2022-04-16T02:24:00.000,0.12,358.43,0.12,-0.00
2022-04-16T02:26:00.000,3.62,11.37,3.55,0.71
2022-04-16T02:28:00.000,1.36,243.08,-0.62,-1.21
2022-04-16T02:30:00.000,4.92,24.11,4.49,2.01
2022-04-16T02:32:00.000,3.28,96.66,-0.38,3.26
2022-04-16T02:34:00.000,2.83,43.93,2.04,1.97
2022-04-16T02:36:00.000,0.81,256.58,-0.19,-0.79
2022-04-16T02:38:00.000,3.71,11.53,3.64,0.74
2022-04-16T02:40:00.000,1.75,39.42,1.35,1.11
2022-04-16T02:42:00.000,1.82,290.31,0.63,-1.70
2022-04-16T02:44:00.000,1.82,110.09,-0.63,1.71
2022-04-16T02:46:00.000,3.62,34.67,2.98,2.06
2022-04-16T02:48:00.000,6.49,329.64,5.60,-3.28
2022-04-16T02:50:00.000,3.16,88.33,0.09,3.16
2022-04-16T02:52:00.000,5.60,142.64,-4.45,3.40
2022-04-16T02:54:00.000,8.29,61.99,3.89,7.32
2022-04-16T02:56:00.000,13.24,346.34,12.86,-3.13
2022-04-16T02:58:00.000,2.35,63.20,1.06,2.10
2022-04-16T03:00:00.000,4.81,80.21,0.82,4.74
2022-04-16T03:02:00.000,2.87,194.23,-2.78,-0.71
2022-04-16T03:04:00.000,7.29,27.87,6.44,3.41
2022-04-16T03:06:00.000,4.92,25.66,4.43,2.13
2022-04-16T03:08:00.000,2.78,259.90,-0.49,-2.74
2022-04-16T03:10:00.000,5.00,6.39,4.97,0.56
2022-04-16T03:12:00.000,5.08,69.29,1.80,4.76
2022-04-16T03:14:00.000,6.87,7.44,6.81,0.89
2022-04-16T03:16:00.000,5.35,323.76,4.31,-3.16
2022-04-16T03:18:00.000,2.43,147.54,-2.05,1.31
2022-04-16T03:20:00.000,5.30,359.97,5.30,-0.00
2022-04-16T03:22:00.000,6.49,8.99,6.41,1.01
2022-04-16T03:24:00.000,3.49,349.72,3.44,-0.62
2022-04-16T03:26:00.000,10.75,78.67,2.11,10.54
2022-04-16T03:28:00.000,5.33,31.68,4.54,2.80
2022-04-16T03:30:00.000,5.45,92.27,-0.22,5.45
2022-04-16T03:32:00.000,11.22,335.69,10.22,-4.62
2022-04-16T03:34:00.000,7.68,82.87,0.95,7.62
2022-04-16T03:36:00.000,7.78,99.51,-1.29,7.67
2022-04-16T03:38:00.000,4.66,331.11,4.08,-2.25
2022-04-16T03:40:00.000,3.22,66.71,1.27,2.96
2022-04-16T03:42:00.000,10.23,52.97,6.16,8.17
2022-04-16T03:44:00.000,10.05,68.27,3.72,9.34
2022-04-16T03:46:00.000,3.70,38.83,2.88,2.32
2022-04-16T03:48:00.000,10.17,57.60,5.45,8.59
2022-04-16T03:50:00.000,6.37,15.24,6.15,1.68
2022-04-16T03:52:00.000,7.32,73.18,2.12,7.01
2022-04-16T03:54:00.000,6.67,53.21,4.00,5.34
2022-04-16T03:56:00.000,14.51,73.89,4.02,13.94
2022-04-16T03:58:00.000,7.88,357.51,7.87,-0.34
2022-04-16T04:00:00.000,3.76,18.53,3.57,1.20
2022-04-16T04:02:00.000,7.52,320.15,5.77,-4.82
2022-04-16T04:04:00.000,7.07,352.93,7.02,-0.87
2022-04-16T04:06:00.000,5.26,118.02,-2.47,4.65
2022-04-16T04:08:00.000,8.70,347.69,8.50,-1.85
2022-04-16T04:10:00.000,8.45,228.29,-5.62,-6.31
2022-04-16T04:12:00.000,8.22,116.60,-3.68,7.35
2022-04-16T04:14:00.000,6.61,164.68,-6.37,1.75
2022-04-16T04:16:00.000,0.91,355.19,0.91,-0.08
2022-04-16T04:18:00.000,2.41,56.63,1.32,2.01
2022-04-16T04:20:00.000,7.30,343.41,7.00,-2.09
2022-04-16T04:22:00.000,4.13,62.78,1.89,3.67
2022-04-16T04:24:00.000,7.32,288.02,2.26,-6.96
2022-04-16T04:26:00.000,8.37,84.94,0.74,8.34
2022-04-16T04:28:00.000,6.51,60.42,3.21,5.66
2022-04-16T04:30:00.000,6.41,347.71,6.26,-1.36
2022-04-16T04:32:00.000,5.38,96.10,-0.57,5.35
2022-04-16T04:34:00.000,10.12,338.72,9.43,-3.67
2022-04-16T04:36:00.000,10.29,357.63,10.28,-0.43
2022-04-16T04:38:00.000,15.62,45.70,10.91,11.18
2022-04-16T04:40:00.000,7.59,30.51,6.54,3.86
2022-04-16T04:42:00.000,4.27,88.36,0.12,4.27
2022-04-16T04:44:00.000,11.21,129.62,-7.15,8.63
2022-04-16T04:46:00.000,11.63,91.65,-0.33,11.62
2022-04-16T04:48:00.000,5.71,88.85,0.11,5.71
2022-04-16T04:50:00.000,5.63,58.02,2.98,4.77
2022-04-16T04:52:00.000,4.84,153.60,-4.34,2.15
2022-04-16T04:54:00.000,6.85,273.72,0.44,-6.83
2022-04-16T04:56:00.000,5.53,258.14,-1.14,-5.42
2022-04-16T04:58:00.000,11.97,238.87,-6.19,-10.25
